ticker
SBER
SBERP
GAZP
LKOH
NVTK
MGNT
GMKN
SNGS
SNGSP
ROSN
VTBR
TRNFP
TATN
TATNP
MTSS
ALRS
MOEX
CHMF
IRAO
POLY
NLMK
YNDX
HYDR
AFKS
PHOR
AFLT
RTKM
RTKMP
MFON
FEES
RUAL
MAGN
MTLRP
PIKK
URKA
UPRO
MVID
CBOM
BANEP
TRMK
AKRN
AGRO
NMTP
LSRG
MSNG
DIXY
SPFB.Si
